candidate_id	candidate_id_lower	species	tox_fasta_path	alphafold_folder	alphafold_cif_path	alphafold_json_path	has_structure
Ablabera_sp_1	ablabera_sp_1	Ablabera_sp	00_inputs/toxin/Ablabera_sp/GKKP00000000.toxin_renomeado.fasta	00_inputs/AlphaFold/ablabera_sp_1	00_inputs/AlphaFold/ablabera_sp_1/fold_ablabera_sp_1_model_0.cif	00_inputs/AlphaFold/ablabera_sp_1/fold_ablabera_sp_1_full_data_0.json	1
Ablabera_sp_2	ablabera_sp_2	Ablabera_sp	00_inputs/toxin/Ablabera_sp/GKKP00000000.toxin_renomeado.fasta	00_inputs/AlphaFold/ablabera_sp_2	00_inputs/AlphaFold/ablabera_sp_2/fold_ablabera_sp_2_model_0.cif	00_inputs/AlphaFold/ablabera_sp_2/fold_ablabera_sp_2_full_data_0.json	1
Acalymma_vittatum_1	acalymma_vittatum_1	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/Acalymma_vittatum.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/acalymma_vittatum_1	00_inputs/AlphaFold/acalymma_vittatum_1/fold_acalymma_vittatum_1_model_0.cif	00_inputs/AlphaFold/acalymma_vittatum_1/fold_acalymma_vittatum_1_full_data_0.json	1
Acalymma_vittatum_2	acalymma_vittatum_2	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/Acalymma_vittatum.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/acalymma_vittatum_2	00_inputs/AlphaFold/acalymma_vittatum_2/fold_acalymma_vittatum_2_model_0.cif	00_inputs/AlphaFold/acalymma_vittatum_2/fold_acalymma_vittatum_2_full_data_0.json	1
Acalymma_vittatum_3	acalymma_vittatum_3	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/Acalymma_vittatum.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/acalymma_vittatum_3	00_inputs/AlphaFold/acalymma_vittatum_3/fold_acalymma_vittatum_3_model_0.cif	00_inputs/AlphaFold/acalymma_vittatum_3/fold_acalymma_vittatum_3_full_data_0.json	1
Acalymma_vittatum_4	acalymma_vittatum_4	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/Acalymma_vittatum.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/acalymma_vittatum_4	00_inputs/AlphaFold/acalymma_vittatum_4/fold_acalymma_vittatum_4_model_0.cif	00_inputs/AlphaFold/acalymma_vittatum_4/fold_acalymma_vittatum_4_full_data_0.json	1
Acalymma_vittatum_5	acalymma_vittatum_5	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/Acalymma_vittatum.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/acalymma_vittatum_5	00_inputs/AlphaFold/acalymma_vittatum_5/fold_acalymma_vittatum_5_model_0.cif	00_inputs/AlphaFold/acalymma_vittatum_5/fold_acalymma_vittatum_5_full_data_0.json	1
GHXO00000000_1	ghxo00000000_1	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
GHXO00000000_2	ghxo00000000_2	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
GHXO00000000_3	ghxo00000000_3	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
GHXO00000000_4	ghxo00000000_4	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
GHXO00000000_5	ghxo00000000_5	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
GHXO00000000_6	ghxo00000000_6	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
GHXO00000000_7	ghxo00000000_7	Acalymma_vittatum	00_inputs/toxin/Acalymma_vittatum/GHXO00000000/GHXO00000000.toxin_renomeado.fasta				0
Aethina_tumida_1	aethina_tumida_1	Aethina_tumida	00_inputs/toxin/Aethina_tumida/Aethina_tumida.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/aethina_tumida_1	00_inputs/AlphaFold/aethina_tumida_1/fold_aethina_tumida_1_model_0.cif	00_inputs/AlphaFold/aethina_tumida_1/fold_aethina_tumida_1_full_data_0.json	1
Aethina_tumida_2	aethina_tumida_2	Aethina_tumida	00_inputs/toxin/Aethina_tumida/Aethina_tumida.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/aethina_tumida_2	00_inputs/AlphaFold/aethina_tumida_2/fold_aethina_tumida_2_model_0.cif	00_inputs/AlphaFold/aethina_tumida_2/fold_aethina_tumida_2_full_data_0.json	1
Aethina_tumida_3	aethina_tumida_3	Aethina_tumida	00_inputs/toxin/Aethina_tumida/Aethina_tumida.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/aethina_tumida_3	00_inputs/AlphaFold/aethina_tumida_3/fold_aethina_tumida_3_model_0.cif	00_inputs/AlphaFold/aethina_tumida_3/fold_aethina_tumida_3_full_data_0.json	1
Aethina_tumida_4	aethina_tumida_4	Aethina_tumida	00_inputs/toxin/Aethina_tumida/Aethina_tumida.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/aethina_tumida_4	00_inputs/AlphaFold/aethina_tumida_4/fold_aethina_tumida_4_model_0.cif	00_inputs/AlphaFold/aethina_tumida_4/fold_aethina_tumida_4_full_data_0.json	1
Allokotarsa_sp_1	allokotarsa_sp_1	Allokotarsa_sp	00_inputs/toxin/Allokotarsa_sp/GKKN00000000.toxin_renomeado.fasta	00_inputs/AlphaFold/allokotarsa_sp_1	00_inputs/AlphaFold/allokotarsa_sp_1/fold_allokotarsa_sp_1_model_0.cif	00_inputs/AlphaFold/allokotarsa_sp_1/fold_allokotarsa_sp_1_full_data_0.json	1
Allokotarsa_sp_2	allokotarsa_sp_2	Allokotarsa_sp	00_inputs/toxin/Allokotarsa_sp/GKKN00000000.toxin_renomeado.fasta	00_inputs/AlphaFold/allokotarsa_sp_2	00_inputs/AlphaFold/allokotarsa_sp_2/fold_allokotarsa_sp_2_model_0.cif	00_inputs/AlphaFold/allokotarsa_sp_2/fold_allokotarsa_sp_2_full_data_0.json	1
Allokotarsa_sp_3	allokotarsa_sp_3	Allokotarsa_sp	00_inputs/toxin/Allokotarsa_sp/GKKN00000000.toxin_renomeado.fasta	00_inputs/AlphaFold/allokotarsa_sp_3	00_inputs/AlphaFold/allokotarsa_sp_3/fold_allokotarsa_sp_3_model_0.cif	00_inputs/AlphaFold/allokotarsa_sp_3/fold_allokotarsa_sp_3_full_data_0.json	1
Alurnus_ornatus_1	alurnus_ornatus_1	Alurnus_ornatus	00_inputs/toxin/Alurnus_ornatus/Alurnus_ornatus.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/alurnus_ornatus_1	00_inputs/AlphaFold/alurnus_ornatus_1/fold_alurnus_ornatus_1_model_0.cif	00_inputs/AlphaFold/alurnus_ornatus_1/fold_alurnus_ornatus_1_full_data_0.json	1
Alurnus_ornatus_2	alurnus_ornatus_2	Alurnus_ornatus	00_inputs/toxin/Alurnus_ornatus/Alurnus_ornatus.fas.pasta.toxin_renomeado.fasta	00_inputs/AlphaFold/alurnus_ornatus_2	00_inputs/AlphaFold/alurnus_ornatus_2/fold_alurnus_ornatus_2_model_0.cif	00_inputs/AlphaFold/alurnus_ornatus_2/fold_alurnus_ornatus_2_full_data_0.json	1
