cluster_representative	candidate_id
aphodius_scrutator_2	aphodius_scrutator_2
aphodius_scrutator_2	euoniticellus_fulvus_1
bolboceras_sp_1	bolboceras_sp_1
brassicogethes_aeneus_2	brassicogethes_aeneus_2
brassicogethes_aeneus_2	ceutorhynchus_napi_3
brassicogethes_aeneus_2	gjvn00000000_1
brassicogethes_aeneus_2	psylliodes_chrysocephalus_1
dichotomius_satanas_4	dichotomius_satanas_4
dichotomius_satanas_4	scitalia_sp_1
eophileurus_sp_2	eophileurus_sp_2
euwallacea_fornicatus_1	euwallacea_fornicatus_1
gaco00000000_1	gaco00000000_1
gaco00000000_1	anomala_sp_2
gaco00000000_1	diphucephala_sp_2
gaco00000000_1	gkke00000000_1
gaco00000000_1	gkke00000000_2
gaco00000000_1	gbcx00000000_1
gaco00000000_1	gdof00000000_2
gaco00000000_1	alurnus_ornatus_3
gaco00000000_1	microcara_testacea_1
gdlg00000000_1	gdlg00000000_1
gdlg00000000_1	byturus_ochraceus_1
gdmq00000000_1	gdmq00000000_1
gdmq00000000_1	sitophilus_zeamais_2
gdmq00000000_1	srr19974962_1
gdmq00000000_1	gkjh00000000_2
gdmq00000000_1	copris_lunaris_3
gdmq00000000_1	aphodius_haemorrhoidalis_1
gdnw00000000_1	gdnw00000000_1
gdnw00000000_1	cucujus_clavipes_1
geotrupes_spiniger_2	geotrupes_spiniger_2
gfuh00000000_2	gfuh00000000_2
gfuh00000000_2	elateroides_flabellicornis_3
ghma00000000_3	ghma00000000_3
gjbk00000000_1	gjbk00000000_1
gjbk00000000_1	catharsius_molossus_1
gjbk00000000_1	dichotomius_satanas_2
gjbk00000000_1	diphucephala_sp_3
gjbk00000000_1	ghma00000000_1
gjbk00000000_1	gjbk00000000_2
gjbk00000000_1	catharsius_molossus_2
gjbk00000000_1	gkjr00000000_1
gjbk00000000_1	ocypus_brunnipes_1
gjbk00000000_1	srr2083703_1
gjbk00000000_1	srr1562205_1
gjbk00000000_1	lepiserica_sp_4
gjbk00000000_1	lepiserica_sp_5
gjbk00000000_1	orphnus_sp_1
gjbk00000000_1	phyllotocus_sp_3
gkjd00000000_3	gkjd00000000_3
gkjd00000000_3	serica_brunnea_1
gkjd00000000_3	allokotarsa_sp_2
gkjd00000000_3	gkjd00000000_2
gkjd00000000_3	allokotarsa_sp_3
gkjd00000000_3	migdolus_fryanus_4
gkjd00000000_3	migdolus_fryanus_1
gkjd00000000_3	srr1562204_2
gkjd00000000_3	srr1562204_4
gkjd00000000_3	srr1562205_4
gkjj00000000_1	gkjj00000000_1
hbua00000000_1	hbua00000000_1
heteronyx_sp_3	heteronyx_sp_3
hydroscapha_redfordi_1	hydroscapha_redfordi_1
hydroscapha_redfordi_1	gdmj00000000_1
hydroscapha_redfordi_1	ghxo00000000_6
hydroscapha_redfordi_1	ceutorhynchus_napi_1
hydroscapha_redfordi_1	ghmd00000000_4
hygrobia_hermanni_1	hygrobia_hermanni_1
lepiserica_sp_1	lepiserica_sp_1
lepiserica_sp_1	iclg00000000_1
maechidius_sp_1	maechidius_sp_1
orphnus_sp_2	orphnus_sp_2
psylliodes_chrysocephalus_2	psylliodes_chrysocephalus_2
psylliodes_chrysocephalus_2	gjvo00000000_1
sitophilus_oryzae_2	sitophilus_oryzae_2
spercheus_emarginatus_2	spercheus_emarginatus_2
