cluster_id	candidate_id	cluster_size	sacc	go_transfer_support	go_id	go_aspect	go_term	go_evidence
MC01	gjbk00000000_1	15	A0A6B9KZ59	strong_GO_transfer_support	GO:0005576	CC	extracellular region	IEA:UniProtKB-SubCell
MC01	gjbk00000000_1	15	A0A6B9KZ59	strong_GO_transfer_support	GO:0004867	MF	serine-type endopeptidase inhibitor activity	IEA:UniProtKB-KW
MC02	gkjd00000000_3	10	C8YJ94	strong_GO_transfer_support	GO:0005615	CC	extracellular space	IEA:TreeGrafter
MC02	gkjd00000000_3	10	C8YJ94	strong_GO_transfer_support	GO:0004867	MF	serine-type endopeptidase inhibitor activity	IEA:UniProtKB-KW
MC02	gkjd00000000_3	10	C8YJ94	strong_GO_transfer_support	GO:0090729	MF	toxin activity	IEA:UniProtKB-KW
MC03	gaco00000000_1	9	P0DN19	strong_GO_transfer_support	GO:0005615	CC	extracellular space	IEA:TreeGrafter
MC03	gaco00000000_1	9	P0DN19	strong_GO_transfer_support	GO:0042151	CC	nematocyst	IEA:UniProtKB-SubCell
MC03	gaco00000000_1	9	P0DN19	strong_GO_transfer_support	GO:0008200	MF	ion channel inhibitor activity	IEA:UniProtKB-ARBA
MC03	gaco00000000_1	9	P0DN19	strong_GO_transfer_support	GO:0015459	MF	potassium channel regulator activity	IEA:UniProtKB-KW
MC03	gaco00000000_1	9	P0DN19	strong_GO_transfer_support	GO:0004867	MF	serine-type endopeptidase inhibitor activity	IEA:UniProtKB-KW
MC03	gaco00000000_1	9	P0DN19	strong_GO_transfer_support	GO:0090729	MF	toxin activity	IEA:UniProtKB-KW
MC05	hydroscapha_redfordi_1	5	P81602	strong_GO_transfer_support	GO:0005615	CC	extracellular space	IEA:TreeGrafter
MC05	hydroscapha_redfordi_1	5	P81602	strong_GO_transfer_support	GO:0050830	BP	defense response to Gram-positive bacterium	IEA:UniProtKB-ARBA
MC05	hydroscapha_redfordi_1	5	P81602	strong_GO_transfer_support	GO:0006959	BP	humoral immune response	IEA:TreeGrafter
MC05	hydroscapha_redfordi_1	5	P81602	strong_GO_transfer_support	GO:0045087	BP	innate immune response	IEA:UniProtKB-KW
MC06	brassicogethes_aeneus_2	4	Q9TWG0	moderate_GO_transfer_support	GO:0005615	CC	extracellular space	IEA:TreeGrafter
MC06	brassicogethes_aeneus_2	4	Q9TWG0	moderate_GO_transfer_support	GO:0042151	CC	nematocyst	IEA:UniProtKB-SubCell
