candidate_id	status	message	source_cif	collected_cif	collected_pdb	ranking_score	ptm	iptm	fraction_disordered	has_clash
allokotarsa_sp_2	ok		/mnt/external/TC/alphafold3_revision/outputs/allokotarsa_sp_2/allokotarsa_sp_2/allokotarsa_sp_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/allokotarsa_sp_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/allokotarsa_sp_2.pdb	0.76	0.64		0.24	0.0
allokotarsa_sp_3	ok		/mnt/external/TC/alphafold3_revision/outputs/allokotarsa_sp_3/allokotarsa_sp_3/allokotarsa_sp_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/allokotarsa_sp_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/allokotarsa_sp_3.pdb	0.73	0.55		0.36	0.0
alurnus_ornatus_3	ok		/mnt/external/TC/alphafold3_revision/outputs/alurnus_ornatus_3/alurnus_ornatus_3/alurnus_ornatus_3_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/alurnus_ornatus_3.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/alurnus_ornatus_3.pdb	0.8	0.5		0.59	0.0
anomala_sp_2	ok		/mnt/external/TC/alphafold3_revision/outputs/anomala_sp_2/anomala_sp_2/anomala_sp_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/anomala_sp_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/anomala_sp_2.pdb	0.65	0.33		0.63	0.0
aphodius_haemorrhoidalis_1	ok		/mnt/external/TC/alphafold3_revision/outputs/aphodius_haemorrhoidalis_1/aphodius_haemorrhoidalis_1/aphodius_haemorrhoidalis_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/aphodius_haemorrhoidalis_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/aphodius_haemorrhoidalis_1.pdb	0.56	0.35		0.41	0.0
aphodius_scrutator_2	ok		/mnt/external/TC/alphafold3_revision/outputs/aphodius_scrutator_2/aphodius_scrutator_2/aphodius_scrutator_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/aphodius_scrutator_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/aphodius_scrutator_2.pdb	0.64	0.47		0.34	0.0
bolboceras_sp_1	ok		/mnt/external/TC/alphafold3_revision/outputs/bolboceras_sp_1/bolboceras_sp_1/bolboceras_sp_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/bolboceras_sp_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/bolboceras_sp_1.pdb	0.53	0.03		1.0	0.0
brassicogethes_aeneus_2	ok		/mnt/external/TC/alphafold3_revision/outputs/brassicogethes_aeneus_2/brassicogethes_aeneus_2/brassicogethes_aeneus_2_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/brassicogethes_aeneus_2.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/brassicogethes_aeneus_2.pdb	0.58	0.57		0.03	0.0
byturus_ochraceus_1	ok		/mnt/external/TC/alphafold3_revision/outputs/byturus_ochraceus_1/byturus_ochraceus_1/byturus_ochraceus_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/byturus_ochraceus_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/byturus_ochraceus_1.pdb	0.62	0.48		0.29	0.0
catharsius_molossus_1	ok		/mnt/external/TC/alphafold3_revision/outputs/catharsius_molossus_1/catharsius_molossus_1/catharsius_molossus_1_model.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_cif/catharsius_molossus_1.cif	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/catharsius_molossus_1.pdb	0.72	0.59		0.26	0.0
