candidate_id	species	tox_fasta_path	signalp_call	signalp_score	len_aa	n_cys	cys_density	cys_grammar	cys_gaps	net_charge_pH7	gravy	aromaticity	instability_index	signalp_prediction	is_secreted	plddt_mean	plddt_std	struct_pass	rg	dssp_n_res	sec_helix_frac	sec_sheet_frac	sec_coil_frac	n_cys_sg	n_disulfide_pairs	disulfide_pairs	gravy_1_20	priority_score_simple
Catharsius_molossus_1	Catharsius_molossus	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Catharsius_molossus/Catharsius_molossus.fas.pasta.toxin_renomeado.fasta	1	0.99988	91	12	0.13186813186813187	C-x(9)-C-x(2)-C-x(1)-C-x(6)-C-x(4)-C-x(7)-C-x(9)-C-x(2)-C-x(1)-C-x(8)-C-x(4)-C	9,2,1,6,4,7,9,2,1,8,4	1.0999999999999996	0.3417582417582419	0.09890109890109891	29.694615384615386	SP(Sec/SPI)	1	69.94994176006733	21.9702124679188	0.0	26.162537413043527	0.0	0.0	0.0	0.0	12.0	6.0	A24-A39;A34-A51;A37-A46;A59-A74;A69-A88;A72-A83	0.3417582417582419	1.510369359894674
Catharsius_molossus_2	Catharsius_molossus	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Catharsius_molossus/Catharsius_molossus.fas.pasta.toxin_renomeado.fasta	1	0.999848	92	12	0.13043478260869565	C-x(9)-C-x(2)-C-x(1)-C-x(6)-C-x(4)-C-x(8)-C-x(9)-C-x(2)-C-x(1)-C-x(8)-C-x(4)-C	9,2,1,6,4,8,9,2,1,8,4	4.199999999999999	0.06304347826086965	0.06521739130434782	39.66304347826087	SP(Sec/SPI)	1	76.40108740262393	18.8824625298215	1.0	26.15705448285501	0.0	0.0	0.0	0.0	12.0	6.0	A24-A39;A34-A51;A37-A46;A60-A75;A70-A89;A73-A84	0.06304347826086965	1.4425244576369949
Ocypus_brunnipes_1	Ocypus_brunnipes	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Ocypus_brunnipes/Ocypus_brunnipes.fas.pasta.toxin_renomeado.fasta	1	0.999719	91	12	0.13186813186813187	C-x(9)-C-x(2)-C-x(1)-C-x(6)-C-x(4)-C-x(7)-C-x(9)-C-x(2)-C-x(1)-C-x(8)-C-x(4)-C	9,2,1,6,4,7,9,2,1,8,4	2.0999999999999996	-0.030769230769230778	0.07692307692307693	35.08351648351648	SP(Sec/SPI)	1	76.00437499201576	21.849152529491707	1.0	26.755360425043364	0.0	0.0	0.0	0.0	12.0	6.0	A26-A41;A36-A53;A39-A48;A61-A76;A71-A90;A74-A85	-0.030769230769230778	1.4137472012163033
Dichotomius_satanas_2	Dichotomius_satanas	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Dichotomius_satanas/Dichotomius_satanas.fas.pasta.toxin_renomeado.fasta	1	0.999902	88	12	0.13636363636363635	C-x(9)-C-x(2)-C-x(1)-C-x(6)-C-x(4)-C-x(8)-C-x(9)-C-x(2)-C-x(1)-C-x(8)-C-x(4)-C	9,2,1,6,4,8,9,2,1,8,4	4.0	-0.18068181818181797	0.06818181818181818	33.22386363636363	SP(Sec/SPI)	1	76.56565267149753	23.722334292179443	1.0	25.890434224567336	0.0	0.0	0.0	0.0	12.0	6.0	A23-A38;A33-A50;A36-A45;A59-A74;A69-A88;A72-A83	-0.18068181818181797	1.3713004953151078
Astenopholis_sp_1	Astenopholis_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Astenopholis_sp/Astenopholis_sp.fas.pasta.toxin_renomeado.fasta	1	0.999885	80	11	0.1375	C-x(18)-C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	18,8,3,3,9,3,3,1,11,5	2.0999999999999996	0.3349999999999999	0.05	28.084999999999994	SP(Sec/SPI)	1	86.95552072591252	14.232691600326465	1.0	20.548908769951296	0.0	0.0	0.0	0.0	11.0	5.0	A24-A59;A33-A55;A37-A51;A41-A79;A61-A73	0.3349999999999999	1.3522638018147812
Anomala_sp_1	Anomala_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Anomala_sp/Anomala_sp.fas.pasta.toxin_renomeado.fasta	1	0.99989	79	10	0.12658227848101267	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	4.2	0.2987341772151901	0.0759493670886076	31.086075949367093	SP(Sec/SPI)	1	86.72362376754708	12.547024348061726	1.0	20.60208613217595	0.0	0.0	0.0	0.0	10.0	5.0	A24-A59;A33-A55;A37-A51;A41-A79;A61-A73	0.2987341772151901	1.3380748822036779
Orphnus_sp_2	Orphnus_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Orphnus_sp/GKJZ00000000.toxin_renomeado.fasta	1	0.999913	77	10	0.12987012987012986	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	5.1	0.3038961038961038	0.06493506493506493	34.71558441558441	SP(Sec/SPI)	1	85.48855330068854	15.726464741335507	1.0	19.57757783890681	0.0	0.0	0.0	0.0	10.0	5.0	A22-A57;A31-A53;A35-A49;A39-A77;A59-A71	0.3038961038961038	1.337357746888085
Diphucephala_sp_2	Diphucephala_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Diphucephala_sp/Diphucephala_sp.fas.pasta.toxin_renomeado.fasta	1	0.999733	80	10	0.125	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	4.1	0.25375	0.0625	30.061249999999987	SP(Sec/SPI)	1	91.07891699828069	7.241192187757519	1.0	21.236595524350033	0.0	0.0	0.0	0.0	10.0	5.0	A24-A59;A33-A55;A37-A51;A41-A79;A61-A73	0.25375	1.3350722924957017
Hygrobia_hermanni_1	Hygrobia_hermanni	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Hygrobia_hermanni/Hygrobia_hermanni.fas.pasta.toxin_renomeado.fasta	1	0.999742	81	11	0.13580246913580246	C-x(15)-C-x(8)-C-x(2)-C-x(3)-C-x(11)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	15,8,2,3,11,3,3,1,11,5	6.1	0.3259259259259261	0.06172839506172839	18.69753086419753	SP(Sec/SPI)	1	80.31766595791714	19.313834035059017	1.0	23.228915906103744	0.0	0.0	0.0	0.0	11.0	5.0	A25-A61;A34-A57;A37-A53;A41-A81;A63-A75	0.3259259259259261	1.3325225599565214
Pleophylla_fasciatipennis_1	Pleophylla_fasciatipennis	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Pleophylla_fasciatipennis/GKJA00000000.toxin_renomeado.fasta	1	0.999902	79	10	0.12658227848101267	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	4.1	0.2455696202531644	0.10126582278481014	28.25949367088608	SP(Sec/SPI)	1	86.2321306700559	14.151578159697774	1.0	18.527127744883835	0.0	0.0	0.0	0.0	10.0	5.0	A23-A58;A32-A54;A36-A50;A40-A78;A60-A72	0.2455696202531644	1.3208967823713422
Amphimallon_solstitiale_1	Amphimallon_solstitiale	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Amphimallon_solstitiale/GKIQ00000000.toxin_renomeado.fasta	1	0.999842	80	10	0.125	C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	8,3,3,9,3,3,1,11,5	1.0999999999999996	0.265	0.0875	25.543749999999996	SP(Sec/SPI)	1	83.49268827699635	16.017605367062536	1.0	20.287288089739686	0.0	0.0	0.0	0.0	10.0	5.0	A24-A59;A33-A55;A37-A51;A41-A79;A61-A73	0.265	1.319481720692491
Diphucephala_sp_3	Diphucephala_sp	/home/danilo/Caroline/coletotox_min/00_inputs/toxin/Diphucephala_sp/Diphucephala_sp.fas.pasta.toxin_renomeado.fasta	1	0.9912	83	11	0.13253012048192772	C-x(7)-C-x(8)-C-x(3)-C-x(3)-C-x(9)-C-x(3)-C-x(3)-C-x(1)-C-x(11)-C-x(5)-C	7,8,3,3,9,3,3,1,11,5	5.199999999999999	0.24337349397590358	0.04819277108433735	31.334939759036143	SP(Sec/SPI)	1	84.65564144912518	16.05822379893163	1.0	23.041856503770887	0.0	0.0	0.0	0.0	11.0	5.0	A27-A62;A36-A58;A40-A54;A44-A82;A64-A76	0.24337349397590358	1.317783681936066
