cluster_id	candidate_id	source_pdb	query_pdb	status	cluster_size	plddt_mean	functional_category
MC01	gjbk00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gjbk00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC01_gjbk00000000_1.pdb	copied	15	87.16142890566871	protease_inhibitor_like
MC02	gkjd00000000_3	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gkjd00000000_3.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC02_gkjd00000000_3.pdb	copied	10	85.63180279340901	protease_inhibitor_like
MC03	gaco00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gaco00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC03_gaco00000000_1.pdb	copied	9	50.742835770792034	protease_inhibitor_like
MC04	gdmq00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdmq00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC04_gdmq00000000_1.pdb	copied	6	72.60888852013483	unresolved
MC05	hydroscapha_redfordi_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/hydroscapha_redfordi_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC05_hydroscapha_redfordi_1.pdb	copied	5	92.19674968719482	defensin_or_antimicrobial_like
MC06	brassicogethes_aeneus_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/brassicogethes_aeneus_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC06_brassicogethes_aeneus_2.pdb	copied	4	93.03363661332564	protease_inhibitor_like
MC07	aphodius_scrutator_2	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/aphodius_scrutator_2.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC07_aphodius_scrutator_2.pdb	copied	2	89.86371438162668	protease_inhibitor_like
MC08	dichotomius_satanas_4	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/dichotomius_satanas_4.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC08_dichotomius_satanas_4.pdb	copied	2	89.05068943418306	unresolved
MC09	gdlg00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdlg00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC09_gdlg00000000_1.pdb	copied	2	79.80422202216255	protease_inhibitor_like
MC10	gdnw00000000_1	/mnt/external/TC/alphafold3_revision/analysis_mature/01_models_pdb/gdnw00000000_1.pdb	/mnt/external/TC/alphafold3_revision/analysis_mature/08_external_structure_search/representative_pdbs/MC10_gdnw00000000_1.pdb	copied	2	88.73636303525983	unresolved
