accession	primary_accession	protein_name	go_terms
P56682	P56682	Chymotrypsin inhibitor	C:extracellular region;F:serine-type endopeptidase inhibitor activity
P83516	P83516	Chymotrypsin-elastase inhibitor ixodidin	C:extracellular region;F:serine-type endopeptidase inhibitor activity;P:defense response to bacterium
P23253	P23253	Sialidase	C:cytoplasm;C:plasma membrane;C:side of membrane;F:exo-alpha-sialidase activity;P:ganglioside catabolic process;P:oligosaccharide catabolic process
Q9TWG0	Q9TWG0	KappaPI-actitoxin-Avd3b	C:extracellular space;C:nematocyst;F:ion channel inhibitor activity;F:potassium channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity
O14275	O14275	Mitochondrial cox1 translation regulator ppr4	C:cytoplasm;C:extrinsic component of matrix side of mitochondrial inner membrane;C:mitochondrion;C:Mrh5C translation activator complex;F:mRNA 5'-UTR binding;F:mRNA binding;F:protein-RNA sequence-specific adaptor activity;F:translation activator activity;F:translation regulator activity;P:mitochondrial gene expression;P:mitochondrial translation;P:mitochondrial translational initiation;P:positive regulation of mitochondrial translational initiation
Q96QV1	Q96QV1	Hedgehog-interacting protein	C:cell surface;C:ciliary membrane;C:cytoplasm;C:extracellular region;C:plasma membrane;F:hedgehog family protein binding;F:zinc ion binding;P:negative regulation of signal transduction;P:negative regulation of smoothened signaling pathway;P:skeletal system morphogenesis
P0DN14	P0DN14	U-actitoxin-Avd3m	C:extracellular region;C:nematocyst;F:ion channel inhibitor activity;F:potassium channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity
H9KQJ7	H9KQJ7	Omega-conotoxin-like protein 1	F:ion channel regulator activity;F:toxin activity;P:defense response to bacterium
C0HMC7	C0HMC7	Doenitin-1	C:extracellular space;F:serine-type endopeptidase inhibitor activity;F:toxin activity
P40189	P40189	Interleukin-6 receptor subunit beta	C:ciliary neurotrophic factor receptor complex;C:dendrite;C:external side of plasma membrane;C:extracellular exosome;C:extracellular region;C:extracellular space;C:interleukin-6 receptor complex;C:membrane;C:membrane raft;C:neuronal cell body;C:oncostatin-M receptor complex;C:plasma membrane;C:receptor complex;F:ciliary neurotrophic factor receptor activity;F:ciliary neurotrophic factor receptor binding;F:coreceptor activity;F:cytokine binding;F:cytokine receptor activity;F:growth factor binding;F:identical protein binding;F:interleukin-11 binding;F:interleukin-11 receptor activity;F:interleukin-27 receptor activity;F:protein tyrosine kinase activator activity;F:scaffold protein binding;P:autocrine signaling;P:B cell differentiation;P:cell surface receptor signaling pathway via JAK-STAT;P:cell surface receptor signaling pathway via STAT;P:ciliary neurotrophic factor-mediated signaling pathway;P:cytokine-mediated signaling pathway;P:inflammatory response;P:interleukin-11-mediated signaling pathway;P:interleukin-27-mediated signaling pathway;P:interleukin-6-mediated signaling pathway;P:intestinal epithelial cell development;P:leukemia inhibitory factor signaling pathway;P:megakaryocyte differentiation;P:negative regulation of apoptotic process;P:negative regulation of cytokine activity;P:negative regulation of cytokine-mediated signaling pathway;P:negative regulation of fat cell proliferation;P:negative regulation of interleukin-6-mediated signaling pathway;P:negative regulation of neuron apoptotic process;P:negative regulation of T-helper 1 type immune response;P:oncostatin-M-mediated signaling pathway;P:paracrine signaling;P:positive regulation of acute inflammatory response;P:positive regulation of adaptive immune response;P:positive regulation of cardiac muscle hypertrophy;P:positive regulation of cell population proliferation;P:positive regulation of interleukin-10 production;P:positive regulation of MAPK cascade;P:positive regulation of Notch signaling pathway;P:positive regulation of osteoblast differentiation;P:positive regulation of platelet aggregation;P:positive regulation of T cell proliferation;P:positive regulation of vascular endothelial growth factor production;P:regulation of insulin secretion;P:response to cytokine;P:T-helper 17 cell lineage commitment
P0DN11	P0DN11	U-actitoxin-Avd3j	C:extracellular region;C:nematocyst;F:ion channel inhibitor activity;F:potassium channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity
B7S4N9	B7S4N9	Kunitz-type serine protease inhibitor taicotoxin	C:extracellular space;F:calcium channel regulator activity;F:potassium channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity
C8YJB3	C8YJB3	Vasotab-TY2	C:extracellular region;F:calcium channel regulator activity;F:toxin activity;P:vasodilation
P00768	P00768	Chymotrypsin-2	C:extracellular region;F:serine-type endopeptidase activity;P:protein processing
B7PCV3	B7PCV3	Ixochymostatin	C:extracellular region;F:serine-type endopeptidase inhibitor activity
C8YJ94	C8YJ94	Tabkunin 2	C:extracellular space;F:serine-type endopeptidase inhibitor activity;F:toxin activity
P80060	P80060	Protease inhibitors	C:extracellular region;F:serine-type endopeptidase inhibitor activity
P82176	P82176	Inducible metalloproteinase inhibitor protein	C:extracellular space;F:metalloendopeptidase inhibitor activity;P:anatomical structure morphogenesis;P:extracellular matrix organization;P:wound healing
P0DKT1	P0DKT1	Turripeptide Pal9.2	C:extracellular region;F:ion channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity;P:cell differentiation
P81902	P81902	Trypsin inhibitor	C:extracellular space;F:serine-type endopeptidase inhibitor activity
Q21EP1	Q21EP1	Glutamate--cysteine ligase	C:cytosol;F:ATP binding;F:glutamate-cysteine ligase activity;F:metal ion binding;P:glutathione biosynthetic process
Q5XH73	Q5XH73	CCR4-NOT transcription complex subunit 6-like-B	C:CCR4-NOT complex;C:cytoplasm;C:cytosol;C:nucleus;F:3'-5'-RNA exonuclease activity;F:metal ion binding;F:poly(A)-specific ribonuclease activity;P:DNA-templated transcription;P:mRNA processing;P:regulation of translation;P:regulatory ncRNA-mediated gene silencing
Q6W4X9	Q6W4X9	Mucin-6	C:extracellular matrix;C:extracellular space;C:Golgi lumen;C:plasma membrane;F:extracellular matrix structural constituent;P:maintenance of gastrointestinal epithelium
P18313	P18313	Sapecin	C:extracellular space;P:defense response to Gram-positive bacterium;P:humoral immune response;P:innate immune response
A0A6B9KZ59	A0A6B9KZ59	U-reduvitoxin-Pr21	C:extracellular region;F:serine-type endopeptidase inhibitor activity
P0DN19	P0DN19	U-actitoxin-Avd3r	C:extracellular space;C:nematocyst;F:ion channel inhibitor activity;F:potassium channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity
P81602	P81602	Defensin-B	C:extracellular space;P:defense response to Gram-positive bacterium;P:humoral immune response;P:innate immune response
P86733	P86733	BPTI/Kunitz domain-containing protein	C:extracellular region;C:extracellular space;F:serine-type endopeptidase inhibitor activity
P0DMW7	P0DMW7	PI-actitoxin-Aeq3b	C:extracellular space;C:nematocyst;F:ion channel inhibitor activity;F:potassium channel regulator activity;F:serine-type endopeptidase inhibitor activity;F:toxin activity
B5KL29	B5KL29	Kunitz-type serine protease inhibitor scutellin-3	C:extracellular region;F:serine-type endopeptidase inhibitor activity
Q8WPI2	Q8WPI2	Boophilin-H2	C:extracellular space;F:serine-type endopeptidase inhibitor activity;F:toxin activity
Q02100	Q02100	CRE-binding bZIP protein SKO1	C:cytosol;C:nucleus;F:DNA-binding transcription activator activity, RNA polymerase II-specific;F:DNA-binding transcription factor activity, RNA polymerase II-specific;F:DNA-binding transcription repressor activity, RNA polymerase II-specific;F:mitogen-activated protein kinase binding;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding;F:RNA polymerase II-specific DNA-binding transcription factor binding;F:transcription corepressor activity;P:cellular response to osmotic stress;P:DNA-templated transcription;P:negative regulation of transcription by RNA polymerase II;P:positive regulation of transcription by RNA polymerase II;P:regulation of transcription by RNA polymerase II
P19761	P19761	Tissue factor pathway inhibitor	C:extracellular space;F:serine-type endopeptidase inhibitor activity;P:blood coagulation;P:cellular response to lipid
P0DM55	P0DM55	Venom peptide SjAPI	C:extracellular region;F:serine-type endopeptidase inhibitor activity
Q08E66	Q08E66	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2	C:extracellular space;F:receptor antagonist activity;F:serine-type endopeptidase inhibitor activity;F:transforming growth factor beta binding;P:negative regulation of transforming growth factor beta receptor signaling pathway;P:transforming growth factor beta receptor signaling pathway
Q6T269	Q6T269	Kunitz-type serine protease inhibitor bitisilin-3	C:extracellular region;F:serine-type endopeptidase inhibitor activity;P:venom-mediated perturbation of hemostasis
B6ZIW0	B6ZIW0	Thrombin inhibitor hemalin	C:extracellular space;F:serine-type endopeptidase inhibitor activity;F:toxin activity
Q9VDG1	Q9VDG1	Protein pegasus	C:extracellular space;F:serine-type endopeptidase inhibitor activity;F:Wnt-protein binding;P:establishment of protein localization to extracellular region;P:imaginal disc-derived wing margin morphogenesis;P:positive regulation of canonical Wnt signaling pathway
B2BS84	B2BS84	Putative Kunitz-type serine protease inhibitor	C:extracellular region;F:serine-type endopeptidase inhibitor activity
P73001	P73001	Uncharacterized protein slr1608	C:outer membrane-bounded periplasmic space;F:oxidoreductase activity
