cluster_representative	cluster_size	members
gjbk00000000_1	15	catharsius_molossus_1;catharsius_molossus_2;dichotomius_satanas_2;diphucephala_sp_3;ghma00000000_1;gjbk00000000_1;gjbk00000000_2;gkjr00000000_1;lepiserica_sp_4;lepiserica_sp_5;ocypus_brunnipes_1;orphnus_sp_1;phyllotocus_sp_3;srr1562205_1;srr2083703_1
gkjd00000000_3	10	allokotarsa_sp_2;allokotarsa_sp_3;gkjd00000000_2;gkjd00000000_3;migdolus_fryanus_1;migdolus_fryanus_4;serica_brunnea_1;srr1562204_2;srr1562204_4;srr1562205_4
gaco00000000_1	9	alurnus_ornatus_3;anomala_sp_2;diphucephala_sp_2;gaco00000000_1;gbcx00000000_1;gdof00000000_2;gkke00000000_1;gkke00000000_2;microcara_testacea_1
gdmq00000000_1	6	aphodius_haemorrhoidalis_1;copris_lunaris_3;gdmq00000000_1;gkjh00000000_2;sitophilus_zeamais_2;srr19974962_1
hydroscapha_redfordi_1	5	ceutorhynchus_napi_1;gdmj00000000_1;ghmd00000000_4;ghxo00000000_6;hydroscapha_redfordi_1
brassicogethes_aeneus_2	4	brassicogethes_aeneus_2;ceutorhynchus_napi_3;gjvn00000000_1;psylliodes_chrysocephalus_1
aphodius_scrutator_2	2	aphodius_scrutator_2;euoniticellus_fulvus_1
dichotomius_satanas_4	2	dichotomius_satanas_4;scitalia_sp_1
gdlg00000000_1	2	byturus_ochraceus_1;gdlg00000000_1
gdnw00000000_1	2	cucujus_clavipes_1;gdnw00000000_1
gfuh00000000_2	2	elateroides_flabellicornis_3;gfuh00000000_2
lepiserica_sp_1	2	iclg00000000_1;lepiserica_sp_1
psylliodes_chrysocephalus_2	2	gjvo00000000_1;psylliodes_chrysocephalus_2
bolboceras_sp_1	1	bolboceras_sp_1
eophileurus_sp_2	1	eophileurus_sp_2
euwallacea_fornicatus_1	1	euwallacea_fornicatus_1
geotrupes_spiniger_2	1	geotrupes_spiniger_2
ghma00000000_3	1	ghma00000000_3
gkjj00000000_1	1	gkjj00000000_1
hbua00000000_1	1	hbua00000000_1
heteronyx_sp_3	1	heteronyx_sp_3
hygrobia_hermanni_1	1	hygrobia_hermanni_1
maechidius_sp_1	1	maechidius_sp_1
orphnus_sp_2	1	orphnus_sp_2
sitophilus_oryzae_2	1	sitophilus_oryzae_2
spercheus_emarginatus_2	1	spercheus_emarginatus_2
