query	target	fident	alnlen	qlen	tlen	qcov	tcov	alntmscore	qtmscore	ttmscore	evalue	bits	theader	database	length_ratio	structural_match_class	class_rank	final_structural_conclusion
MC11_gfuh00000000_2	7pb4-assembly1_H	0.08	25	24	47	1.0	0.532	0.9247	0.8948	0.4877	0.6193	76	7pb4-assembly1_H Cenp-HIK 3-protein complex	PDB	1.9583333333333333	close_structural_counterpart	5	close_structural_counterpart_detected
MC11_gfuh00000000_2	AF-Q09MG8-F1-model_v6	0.0	25	24	37	1.0	0.676	0.8792	0.8541	0.5951	0.6499	73	AF-Q09MG8-F1-model_v6 Photosystem I reaction center subunit VIII	AlphaFold_SwissProt	1.5416666666666667	close_structural_counterpart	5	close_structural_counterpart_detected
MC25_sitophilus_oryzae_2	AF-Q69Z14-F1-model_v6	0.09	44	36	67	0.861	0.657	0.73	0.6512	0.394	0.4571	54	AF-Q69Z14-F1-model_v6 V-type proton ATPase subunit e	AlphaFold_SwissProt	1.8611111111111112	close_structural_counterpart	5	close_structural_counterpart_detected
MC25_sitophilus_oryzae_2	6iai-assembly4_D	0.041	48	36	106	1.0	0.453	0.713	0.7005	0.2935	0.4244	56	6iai-assembly4_D StoD is a novel Salmonella Typhi type III secretion system E3 ubiquitin ligase effector	PDB	2.9444444444444446	moderate_structural_counterpart	4	close_structural_counterpart_detected
