cluster_id	candidate_id	cluster_size	cluster_type	species	mature_len	plddt_mean	sacc	pident	qcovhsp	evalue	go_transfer_support	uniprot_protein_name	GO_MF	GO_BP	GO_CC	functional_category	final_functional_category	functional_label	functional_annotation_status	preliminary_novelty_status	manual_review_note
MC01	gjbk00000000_1	15	recurrent	Catharsius_molossus	42	87.16142890566871	A0A6B9KZ59	53.659	95.0	0.000343	strong_GO_transfer_support	U-reduvitoxin-Pr21	GO:0004867|serine-type endopeptidase inhibitor activity		GO:0005576|extracellular region	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	
MC02	gkjd00000000_3	10	recurrent	Serica_brunnea	61	85.63180279340901	C8YJ94	60.0	90.0	4.18e-16	strong_GO_transfer_support	Tabkunin 2	GO:0004867|serine-type endopeptidase inhibitor activity;GO:0090729|toxin activity		GO:0005615|extracellular space	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	
MC03	gaco00000000_1	9	recurrent	Priacma_serrata	67	50.742835770792034	P0DN19	57.143	84.0	7.65e-12	strong_GO_transfer_support	U-actitoxin-Avd3r	GO:0004867|serine-type endopeptidase inhibitor activity;GO:0008200|ion channel inhibitor activity;GO:0015459|potassium channel regulator activity;GO:0090729|toxin activity		GO:0005615|extracellular space;GO:0042151|nematocyst	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	Structural interpretation should be cautious because mean pLDDT is below 70.
MC04	gdmq00000000_1	6	recurrent	Sitophilus_zeamais	36	72.60888852013483	B5KL29	54.167	67.0	0.077	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structurally_recurrent	
MC05	hydroscapha_redfordi_1	5	recurrent	Hydroscapha_redfordi	40	92.19674968719482	P81602	85.0	100.0	1.36e-14	strong_GO_transfer_support	Defensin-B		GO:0006959|humoral immune response;GO:0045087|innate immune response;GO:0050830|defense response to Gram-positive bacterium	GO:0005615|extracellular space	defensin_or_antimicrobial_like	defensin_or_antimicrobial_like	Defensin/antimicrobial-like	putative_function_from_curated_homolog	structurally_recurrent	
MC06	brassicogethes_aeneus_2	4	recurrent	Brassicogethes_aeneus	33	93.03363661332564	Q9TWG0	60.0	76.0	0.05	moderate_GO_transfer_support	KappaPI-actitoxin-Avd3b	GO:0004867|serine-type endopeptidase inhibitor activity;GO:0008200|ion channel inhibitor activity;GO:0015459|potassium channel regulator activity;GO:0090729|toxin activity		GO:0005615|extracellular space;GO:0042151|nematocyst	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	
MC07	aphodius_scrutator_2	2	recurrent	Aphodius_scrutator	35	89.86371438162668	P83516	53.333	86.0	0.002	moderate_GO_transfer_support	Chymotrypsin-elastase inhibitor ixodidin	GO:0004867|serine-type endopeptidase inhibitor activity	GO:0042742|defense response to bacterium	GO:0005576|extracellular region	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	
MC08	dichotomius_satanas_4	2	recurrent	Dichotomius_satanas	29	89.05068943418306	Q02100	71.429	48.0	0.96	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structurally_recurrent	
MC09	gdlg00000000_1	2	recurrent	Byturus_ochraceus	45	79.80422202216255	P83516	57.143	78.0	0.007	moderate_GO_transfer_support	Chymotrypsin-elastase inhibitor ixodidin	GO:0004867|serine-type endopeptidase inhibitor activity	GO:0042742|defense response to bacterium	GO:0005576|extracellular region	protease_inhibitor_like	protease_inhibitor_like	Protease inhibitor-like	putative_function_from_curated_homolog	structurally_recurrent	
MC10	gdnw00000000_1	2	recurrent	Cucujus_clavipes	33	88.73636303525983	P86733	72.727	67.0	5.07e-06	insufficient_similarity_for_GO_transfer					unresolved	unresolved	Unresolved	function_not_transferred_due_to_insufficient_similarity	structurally_recurrent	
